URL de Lote;Código;Ano Modelo;Marca;Modelo;Documento;Chassi;Categoria;Condição;Cond. de Funcionamento;Tipo de Monta;Tipo de Chassi;Comitente;Valor FIPE;Pátio Veículo;Data do Leilão;Pátio do Leilão;Lote;Grade/Linha;Lance atual;Meu Lance
https://www.copart.com.br/lotDetail/516843;516843;2017;FORD;CARGO 1933;Aguardando Classificação;;Caminhões e Rebocadores;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;CAMINHÃO B;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/517021;517021;2014;FORD;FUSION;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;S 090;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/517231;517231;2019;FIAT;STRADA CD;Aguardando Classificação;;Picapes Pequenas;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;PIRAPORA - SP;;Não Preenchido;0;PA5-04;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/517575;517575;2019;RENAULT;SANDERO;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;AB-17;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/518160;518160;1984;CHEVROLET;CHEVETTE;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;BETIM - MG;;Não Preenchido;0;B040-4;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/518254;518254;2020;FIAT;GRAND SIENA;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;PIRAPORA - SP;;Não Preenchido;0;PA9-06;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/518572;518572;2014;HYUNDAI;HB20;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;PIRAPORA - SP;;Não Preenchido;0;PA14-07;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/518659;518659;2000;HONDA;C 100;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CANOAS - RS;;Não Preenchido;0;MOTO A;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/518816;518816;2009;FORD;FOCUS SEDAN;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;R 040;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/519017;519017;2010;HONDA;BIZ 125;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;MI2;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/519039;519039;2011;KASINSKI;COMET;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;MD1;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/520184;520184;2010;CITROEN;C4;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;EMBÚ DAS ARTES - SP;;Não Preenchido;0;EB3-5;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/520265;520265;2004;CHEVROLET;CELTA;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;BETIM - MG;;Não Preenchido;0;A040-7;0 BRL;0 BRL
